interval_start,region,price_aud_per_mwh
2025-12-31 02:00:00,SA1,-7.21733
2025-12-31 02:00:00,TAS1,23.67169
2025-12-31 02:00:00,VIC1,-7.36
2025-12-31 02:05:00,NSW1,73.20014
2025-12-31 02:05:00,QLD1,66.61222
2025-12-31 02:05:00,SA1,-7.21675
2025-12-31 02:05:00,TAS1,38.14
2025-12-31 02:05:00,VIC1,-7.36
2025-12-31 02:10:00,NSW1,70.1892
2025-12-31 02:10:00,QLD1,63.83023
2025-12-31 02:15:00,NSW1,73.20014
2025-12-31 02:10:00,SA1,-7.21564
2025-12-31 02:10:00,TAS1,39.14
2025-12-31 02:10:00,VIC1,-7.36
2025-12-31 02:15:00,QLD1,66.13985
2025-12-31 02:15:00,SA1,-7.10822
2025-12-31 02:15:00,TAS1,39.14
2025-12-31 02:15:00,VIC1,-7.25
2025-12-31 02:20:00,NSW1,73.20014
2025-12-31 02:20:00,QLD1,67.04107
2025-12-31 02:20:00,SA1,-7.01
2025-12-31 02:20:00,TAS1,39.14
2025-12-31 02:20:00,VIC1,-7.11507
2025-12-31 02:25:00,NSW1,58.3964
2025-12-31 02:25:00,QLD1,54.96
2025-12-31 02:25:00,SA1,-7.01
2025-12-31 02:25:00,TAS1,39.14
2025-12-31 02:25:00,VIC1,-7.12243
2025-12-31 02:30:00,NSW1,67.29755
2025-12-31 02:30:00,QLD1,63.54
2025-12-31 02:30:00,SA1,-7.10793
2025-12-31 02:30:00,TAS1,39.14
2025-12-31 02:30:00,VIC1,-7.36
2025-12-31 02:35:00,NSW1,68.85799
2025-12-31 02:35:00,QLD1,63.83023
2025-12-31 02:35:00,SA1,-7.10989
2025-12-31 02:35:00,TAS1,39.14
2025-12-31 02:40:00,SA1,-7.25
2025-12-31 02:35:00,VIC1,-7.36
2025-12-31 02:40:00,NSW1,56.98
2025-12-31 02:40:00,QLD1,54.53004
2025-12-31 02:40:00,TAS1,39.14
2025-12-31 02:40:00,VIC1,-7.50301
2025-12-31 02:45:00,NSW1,57.06014
2025-12-31 02:45:00,QLD1,54.76
2025-12-31 02:45:00,SA1,-7.25
2025-12-31 02:45:00,TAS1,39.14
2025-12-31 02:45:00,VIC1,-7.53838
2025-12-31 02:50:00,NSW1,64.89
2025-12-31 02:50:00,QLD1,61.25895
2025-12-31 02:50:00,SA1,-7.25
2025-12-31 02:50:00,TAS1,39.14
2025-12-31 02:50:00,VIC1,-7.50223
2025-12-31 02:55:00,NSW1,64.89
2025-12-31 02:55:00,QLD1,61.27907
2025-12-31 02:55:00,SA1,-7.25
2025-12-31 02:55:00,TAS1,39.14
2025-12-31 02:55:00,VIC1,-7.47089
2025-12-31 03:00:00,NSW1,57.48104
2025-12-31 03:00:00,QLD1,54.95998
2025-12-31 03:00:00,SA1,-7.67363
2025-12-31 03:00:00,TAS1,39.14
2025-12-31 03:00:00,VIC1,-7.99
2025-12-31 03:05:00,NSW1,57.06014
2025-12-31 03:05:00,VIC1,-7.99
2025-12-31 03:05:00,QLD1,54.51337
2025-12-31 03:05:00,SA1,-7.70976
2025-12-31 03:05:00,TAS1,23.37742
2025-12-31 03:10:00,NSW1,58.43255
2025-12-31 03:10:00,QLD1,54.76
2025-12-31 03:10:00,SA1,-7.25
2025-12-31 03:10:00,TAS1,23.53737
2025-12-31 03:10:00,VIC1,-7.54957
2025-12-31 03:15:00,NSW1,58.79518
2025-12-31 03:15:00,QLD1,54.76
2025-12-31 03:15:00,SA1,-7.25
2025-12-31 03:15:00,TAS1,23.53871
2025-12-31 03:15:00,VIC1,-7.54628
2025-12-31 03:20:00,NSW1,58.3964
2025-12-31 03:20:00,QLD1,54.96
2025-12-31 03:20:00,SA1,-7.25
2025-12-31 03:20:00,TAS1,24.58003
2025-12-31 03:20:00,VIC1,-7.5873
2025-12-31 03:25:00,NSW1,58.08321
2025-12-31 03:25:00,QLD1,54.76
2025-12-31 03:25:00,SA1,-7.25
2025-12-31 03:25:00,TAS1,21.24656
2025-12-31 03:25:00,VIC1,-7.6592
2025-12-31 03:30:00,NSW1,64.89
2025-12-31 03:30:00,QLD1,61.21781
2025-12-31 03:30:00,SA1,-7.25
2025-12-31 03:35:00,QLD1,63.73
2025-12-31 03:30:00,TAS1,39.14
2025-12-31 03:30:00,VIC1,-7.58601
2025-12-31 03:35:00,NSW1,67.54631
2025-12-31 03:35:00,SA1,-7.25
2025-12-31 03:35:00,TAS1,37.14
2025-12-31 03:35:00,VIC1,-7.52488
2025-12-31 03:40:00,NSW1,57.06014
2025-12-31 03:40:00,QLD1,54.8079
2025-12-31 03:40:00,SA1,-7.66261
2025-12-31 03:40:00,TAS1,37.14
2025-12-31 03:40:00,VIC1,-7.99
2025-12-31 03:45:00,NSW1,57.06014
2025-12-31 03:45:00,QLD1,54.96
2025-12-31 03:45:00,SA1,-7.62206
2025-12-31 03:45:00,TAS1,21.74364
2025-12-31 03:45:00,VIC1,-7.99
2025-12-31 03:50:00,NSW1,57.06014
2025-12-31 03:50:00,QLD1,54.96
2025-12-31 03:50:00,SA1,-7.66272
2025-12-31 03:50:00,TAS1,31.97841
2025-12-31 03:50:00,VIC1,-7.99
2025-12-31 03:55:00,NSW1,57.06014
2025-12-31 03:55:00,QLD1,54.96
2025-12-31 03:55:00,SA1,-7.65974
2025-12-31 03:55:00,TAS1,10.57279
2025-12-31 03:55:00,VIC1,-7.99
2025-12-31 04:00:00,TAS1,23.51316
2025-12-31 04:00:00,NSW1,65.72746
2025-12-31 04:00:00,QLD1,63.54
2025-12-31 04:00:00,SA1,-7.25
2025-12-31 04:00:00,VIC1,-7.59882
2025-12-31 04:05:00,NSW1,66.42378
2025-12-31 04:05:00,QLD1,63.83017
2025-12-31 04:05:00,SA1,-6.99991
2025-12-31 04:05:00,TAS1,23.87205
2025-12-31 04:05:00,VIC1,-7.55396
2025-12-31 04:10:00,NSW1,55.73591
2025-12-31 04:10:00,QLD1,54.95998
2025-12-31 04:10:00,SA1,-6.99991
2025-12-31 04:10:00,TAS1,23.86329
2025-12-31 04:10:00,VIC1,-7.62491
2025-12-31 04:15:00,NSW1,57.05998
2025-12-31 04:15:00,QLD1,55.91068
2025-12-31 04:15:00,SA1,-6.99991
2025-12-31 04:15:00,TAS1,38.1
2025-12-31 04:15:00,VIC1,-7.62358
2025-12-31 04:20:00,NSW1,57.0601
2025-12-31 04:20:00,QLD1,56.67725
2025-12-31 04:20:00,SA1,-6.99991
2025-12-31 04:20:00,TAS1,39.12
2025-12-31 04:20:00,VIC1,-7.65393
2025-12-31 04:25:00,NSW1,56.98
2025-12-31 04:25:00,QLD1,55.14227
2025-12-31 04:30:00,NSW1,56.98
2025-12-31 04:25:00,SA1,-6.66679
2025-12-31 04:25:00,TAS1,0.08
2025-12-31 04:25:00,VIC1,-7.36
2025-12-31 04:30:00,QLD1,55.51055
2025-12-31 04:30:00,SA1,-6.99991
2025-12-31 04:30:00,TAS1,32.35255
2025-12-31 04:30:00,VIC1,-7.65818
2025-12-31 04:35:00,NSW1,56.98
2025-12-31 04:35:00,QLD1,55.52047
2025-12-31 04:35:00,SA1,-6.99991
2025-12-31 04:35:00,TAS1,32.29555
2025-12-31 04:35:00,VIC1,-7.69463
2025-12-31 04:40:00,NSW1,57.06036
2025-12-31 04:40:00,QLD1,55.58096
2025-12-31 04:40:00,SA1,-6.62827
2025-12-31 04:40:00,TAS1,32.6109
2025-12-31 04:40:00,VIC1,-7.36
2025-12-31 04:45:00,NSW1,56.06642
2025-12-31 04:45:00,QLD1,54.96
2025-12-31 04:45:00,SA1,-6.56535
2025-12-31 04:45:00,TAS1,32.72134
2025-12-31 04:45:00,VIC1,-7.25
2025-12-31 04:50:00,NSW1,56.98
2025-12-31 04:50:00,QLD1,55.50565
2025-12-31 04:50:00,SA1,-6.49958
2025-12-31 04:50:00,TAS1,15.87514
2025-12-31 04:55:00,SA1,-6.56818
2025-12-31 04:50:00,VIC1,-7.25
2025-12-31 04:55:00,NSW1,57.06036
2025-12-31 04:55:00,QLD1,56.5811
2025-12-31 04:55:00,TAS1,15.87514
2025-12-31 04:55:00,VIC1,-7.36
2025-12-31 05:00:00,NSW1,57.06036
2025-12-31 05:00:00,QLD1,56.97706
2025-12-31 05:00:00,SA1,-6.6012
2025-12-31 05:00:00,TAS1,7.48947
2025-12-31 05:00:00,VIC1,-7.36
2025-12-31 05:05:00,NSW1,63.67367
2025-12-31 05:05:00,QLD1,63.56
2025-12-31 05:05:00,SA1,-6.56292
2025-12-31 05:05:00,TAS1,8.27895
2025-12-31 05:05:00,VIC1,-7.36
2025-12-31 05:10:00,NSW1,57.0601
2025-12-31 05:10:00,QLD1,56.94242
2025-12-31 05:10:00,SA1,-6.60058
2025-12-31 05:10:00,TAS1,39.12
2025-12-31 05:10:00,VIC1,-7.36
2025-12-31 05:15:00,NSW1,62.79465
2025-12-31 05:15:00,QLD1,63.83023
2025-12-31 05:15:00,SA1,-6.55816
2025-12-31 05:15:00,TAS1,40.1
2025-12-31 05:15:00,VIC1,-7.36
2025-12-31 05:20:00,NSW1,61.63053
2025-12-31 05:20:00,VIC1,-7.36
2025-12-31 05:20:00,QLD1,63.83023
2025-12-31 05:20:00,SA1,-6.66937
2025-12-31 05:20:00,TAS1,40.1
2025-12-31 05:25:00,NSW1,56.98
2025-12-31 05:25:00,QLD1,57.86034
2025-12-31 05:25:00,SA1,-6.62788
2025-12-31 05:25:00,TAS1,39.12
2025-12-31 05:25:00,VIC1,-7.36
2025-12-31 05:30:00,NSW1,54.13209
2025-12-31 05:30:00,QLD1,54.95998
2025-12-31 05:30:00,SA1,-6.99991
2025-12-31 05:30:00,TAS1,39.1
2025-12-31 05:30:00,VIC1,-7.77467
2025-12-31 05:35:00,NSW1,53.57091
2025-12-31 05:35:00,QLD1,54.72998
2025-12-31 05:35:00,SA1,-6.99991
2025-12-31 05:35:00,TAS1,37.1
2025-12-31 05:35:00,VIC1,-7.69813
2025-12-31 05:40:00,NSW1,44.54301
2025-12-31 05:40:00,QLD1,44.93999
2025-12-31 05:40:00,SA1,-6.99991
2025-12-31 05:40:00,TAS1,38.1
2025-12-31 05:40:00,VIC1,-7.76873
2025-12-31 05:45:00,NSW1,3e-05
2025-12-31 05:45:00,QLD1,3e-05
2025-12-31 05:45:00,SA1,-6.99991
2025-12-31 05:50:00,QLD1,-6.45
2025-12-31 05:45:00,TAS1,39.12
2025-12-31 05:45:00,VIC1,-7.65924
2025-12-31 05:50:00,NSW1,-6.20683
2025-12-31 05:50:00,SA1,-7.01007
2025-12-31 05:50:00,TAS1,39.12
2025-12-31 05:50:00,VIC1,-7.48673
2025-12-31 05:55:00,NSW1,-7.8008
2025-12-31 05:55:00,QLD1,-8.25
2025-12-31 05:55:00,SA1,-7.58076
2025-12-31 05:55:00,TAS1,39.12
2025-12-31 05:55:00,VIC1,-7.99
2025-12-31 06:00:00,NSW1,-9.41419
2025-12-31 06:00:00,QLD1,-10.01
2025-12-31 06:00:00,SA1,-7.77129
2025-12-31 06:00:00,TAS1,39.12
2025-12-31 06:00:00,VIC1,-8.04416
2025-12-31 06:05:00,NSW1,-7.44346
2025-12-31 06:05:00,QLD1,-8.2
2025-12-31 06:05:00,SA1,-7.71868
2025-12-31 06:05:00,TAS1,39.12
2025-12-31 06:05:00,VIC1,-7.99
2025-12-31 06:10:00,NSW1,-7.35596
2025-12-31 06:10:00,QLD1,-8.2
2025-12-31 06:10:00,SA1,-7.71241
2025-12-31 06:10:00,TAS1,40.1
2025-12-31 06:10:00,VIC1,-7.99007
2025-12-31 06:15:00,TAS1,40.1
2025-12-31 06:15:00,NSW1,-7.27185
2025-12-31 06:15:00,QLD1,-8.25
2025-12-31 06:15:00,SA1,-7.6802
2025-12-31 06:15:00,VIC1,-8.0
2025-12-31 06:20:00,NSW1,-9.99999
2025-12-31 06:20:00,QLD1,-11.33797
2025-12-31 06:20:00,SA1,-7.93812
2025-12-31 06:20:00,TAS1,61.44658
2025-12-31 06:20:00,VIC1,-8.47455
2025-12-31 06:25:00,NSW1,-9.65326
2025-12-31 06:25:00,QLD1,-11.01489
2025-12-31 06:25:00,SA1,-7.63617
2025-12-31 06:25:00,TAS1,40.1
2025-12-31 06:25:00,VIC1,-8.0
2025-12-31 06:30:00,NSW1,-7.2729
2025-12-31 06:30:00,QLD1,-8.2
2025-12-31 06:30:00,SA1,-9.58761
2025-12-31 06:30:00,TAS1,58.3937
2025-12-31 06:30:00,VIC1,-10.0
2025-12-31 06:35:00,NSW1,-7.33538
2025-12-31 06:35:00,QLD1,-8.21
2025-12-31 06:35:00,SA1,-13.1473
2025-12-31 06:35:00,TAS1,39.14
2025-12-31 06:35:00,VIC1,-14.04
2025-12-31 06:40:00,NSW1,-6.43875
2025-12-31 06:40:00,QLD1,-7.16
2025-12-31 06:45:00,NSW1,-6.56504
2025-12-31 06:40:00,SA1,-14.08169
2025-12-31 06:40:00,TAS1,39.1539
2025-12-31 06:40:00,VIC1,-15.64
2025-12-31 06:45:00,QLD1,-7.28
2025-12-31 06:45:00,SA1,-15.08
2025-12-31 06:45:00,TAS1,39.14
2025-12-31 06:45:00,VIC1,-17.07975
2025-12-31 06:50:00,NSW1,-6.02979
2025-12-31 06:50:00,QLD1,-6.45
2025-12-31 06:50:00,SA1,-27.41284
2025-12-31 06:50:00,TAS1,39.12
2025-12-31 06:50:00,VIC1,-29.69612
2025-12-31 06:55:00,NSW1,-6.05979
2025-12-31 06:55:00,QLD1,-6.51
2025-12-31 06:55:00,SA1,-20.0
2025-12-31 06:55:00,TAS1,39.14
2025-12-31 06:55:00,VIC1,-15.64
2025-12-31 07:00:00,NSW1,-5.96728
2025-12-31 07:00:00,QLD1,-6.51
2025-12-31 07:00:00,SA1,-21.0
2025-12-31 07:00:00,TAS1,39.14
2025-12-31 07:00:00,VIC1,-19.99
2025-12-31 07:05:00,NSW1,-6.14421
2025-12-31 07:05:00,QLD1,-6.5
2025-12-31 07:05:00,SA1,-21.0
2025-12-31 07:05:00,TAS1,50.14
2025-12-31 07:10:00,SA1,-47.96497
2025-12-31 07:05:00,VIC1,-15.64
2025-12-31 07:10:00,NSW1,-6.28173
2025-12-31 07:10:00,QLD1,-6.26
2025-12-31 07:10:00,TAS1,36.1
2025-12-31 07:10:00,VIC1,-50.11
2025-12-31 07:15:00,NSW1,-6.29889
2025-12-31 07:15:00,QLD1,-6.51
2025-12-31 07:15:00,SA1,-49.99
2025-12-31 07:15:00,TAS1,39.14
2025-12-31 07:15:00,VIC1,-27.20398
2025-12-31 07:20:00,NSW1,-6.3369
2025-12-31 07:20:00,QLD1,-6.51
2025-12-31 07:20:00,SA1,-59.0
2025-12-31 07:20:00,TAS1,39.14
2025-12-31 07:20:00,VIC1,-24.76223
2025-12-31 07:25:00,NSW1,0.0
2025-12-31 07:25:00,QLD1,0.0
2025-12-31 07:25:00,SA1,-73.5
2025-12-31 07:25:00,TAS1,9.24024
2025-12-31 07:25:00,VIC1,-58.49287
2025-12-31 07:30:00,NSW1,0.0
2025-12-31 07:30:00,QLD1,0.0
2025-12-31 07:30:00,SA1,-21.0
2025-12-31 07:30:00,TAS1,18.59835
2025-12-31 07:30:00,VIC1,-49.48391
2025-12-31 07:35:00,NSW1,72.48445
2025-12-31 07:35:00,VIC1,-35.22593
2025-12-31 07:35:00,QLD1,-5.99
2025-12-31 07:35:00,SA1,-21.0
2025-12-31 07:35:00,TAS1,32.84308
2025-12-31 07:40:00,NSW1,45.47785
2025-12-31 07:40:00,QLD1,-6.51
2025-12-31 07:40:00,SA1,-49.88413
2025-12-31 07:40:00,TAS1,16.49967
2025-12-31 07:40:00,VIC1,-50.72
2025-12-31 07:45:00,NSW1,36.0601
2025-12-31 07:45:00,QLD1,0.0
2025-12-31 07:45:00,SA1,-59.0
2025-12-31 07:45:00,TAS1,33.22135
2025-12-31 07:45:00,VIC1,-34.86732
2025-12-31 07:50:00,NSW1,36.0601
2025-12-31 07:50:00,QLD1,-6.51
2025-12-31 07:50:00,SA1,-89.0
2025-12-31 07:50:00,TAS1,17.27726
2025-12-31 07:50:00,VIC1,-50.11
2025-12-31 07:55:00,NSW1,-7.35962
2025-12-31 07:55:00,QLD1,-6.51
2025-12-31 07:55:00,SA1,-27.89062
2025-12-31 07:55:00,TAS1,41.1
2025-12-31 07:55:00,VIC1,-27.63881
2025-12-31 08:00:00,NSW1,0.00025
2025-12-31 08:00:00,QLD1,-6.26
2025-12-31 08:00:00,SA1,-50.4487
2025-12-31 08:05:00,QLD1,-6.5
2025-12-31 08:00:00,TAS1,16.49967
2025-12-31 08:00:00,VIC1,-50.72
2025-12-31 08:05:00,NSW1,-7.31742
2025-12-31 08:05:00,SA1,-89.0
2025-12-31 08:05:00,TAS1,39.12
2025-12-31 08:05:00,VIC1,-50.11
2025-12-31 08:10:00,NSW1,-7.22591
2025-12-31 08:10:00,QLD1,-6.26
2025-12-31 08:10:00,SA1,-49.3919
2025-12-31 08:10:00,TAS1,39.12
2025-12-31 08:10:00,VIC1,-50.72
2025-12-31 08:15:00,NSW1,-7.62066
2025-12-31 08:15:00,QLD1,-6.51
2025-12-31 08:15:00,SA1,-89.0
2025-12-31 08:15:00,TAS1,66.02
2025-12-31 08:15:00,VIC1,-50.01
2025-12-31 08:20:00,NSW1,-5.51
2025-12-31 08:20:00,QLD1,-4.80162
