interval_start,region,demand_mw
2025-12-31 02:00:00,TAS1,826.47
2025-12-31 02:00:00,VIC1,3829.16
2025-12-31 02:05:00,NSW1,6049.77
2025-12-31 02:05:00,QLD1,5732.37
2025-12-31 02:05:00,SA1,1391.76
2025-12-31 02:05:00,TAS1,834.87
2025-12-31 02:05:00,VIC1,3823.91
2025-12-31 02:10:00,NSW1,6084.25
2025-12-31 02:10:00,QLD1,5688.2
2025-12-31 02:10:00,SA1,1387.07
2025-12-31 02:10:00,TAS1,844.42
2025-12-31 02:10:00,VIC1,3802.96
2025-12-31 02:15:00,NSW1,6090.84
2025-12-31 02:15:00,QLD1,5671.36
2025-12-31 02:15:00,SA1,1389.29
2025-12-31 02:15:00,TAS1,843.45
2025-12-31 02:20:00,SA1,1395.8
2025-12-31 02:15:00,VIC1,3798.28
2025-12-31 02:20:00,NSW1,6039.11
2025-12-31 02:20:00,QLD1,5739.86
2025-12-31 02:20:00,TAS1,849.03
2025-12-31 02:20:00,VIC1,3799.13
2025-12-31 02:25:00,NSW1,6065.14
2025-12-31 02:25:00,QLD1,5697.56
2025-12-31 02:25:00,SA1,1384.12
2025-12-31 02:25:00,TAS1,851.28
2025-12-31 02:25:00,VIC1,3782.97
2025-12-31 02:30:00,NSW1,6025.98
2025-12-31 02:30:00,QLD1,5667.85
2025-12-31 02:30:00,SA1,1368.18
2025-12-31 02:30:00,TAS1,852.01
2025-12-31 02:30:00,VIC1,3763.47
2025-12-31 02:35:00,NSW1,6026.51
2025-12-31 02:35:00,QLD1,5686.58
2025-12-31 02:35:00,SA1,1378.29
2025-12-31 02:35:00,TAS1,855.97
2025-12-31 02:35:00,VIC1,3737.22
2025-12-31 02:40:00,TAS1,859.86
2025-12-31 02:40:00,NSW1,6021.62
2025-12-31 02:40:00,QLD1,5651.49
2025-12-31 02:40:00,SA1,1377.85
2025-12-31 02:40:00,VIC1,3718.99
2025-12-31 02:45:00,NSW1,5971.33
2025-12-31 02:45:00,QLD1,5652.42
2025-12-31 02:45:00,SA1,1367.58
2025-12-31 02:45:00,TAS1,858.15
2025-12-31 02:45:00,VIC1,3698.3
2025-12-31 02:50:00,NSW1,5990.48
2025-12-31 02:50:00,QLD1,5674.5
2025-12-31 02:50:00,SA1,1364.79
2025-12-31 02:50:00,TAS1,854.62
2025-12-31 02:50:00,VIC1,3700.54
2025-12-31 02:55:00,NSW1,5964.82
2025-12-31 02:55:00,QLD1,5719.03
2025-12-31 02:55:00,SA1,1347.54
2025-12-31 02:55:00,TAS1,853.12
2025-12-31 02:55:00,VIC1,3697.26
2025-12-31 03:00:00,NSW1,5954.42
2025-12-31 03:00:00,VIC1,3718.65
2025-12-31 03:00:00,QLD1,5728.23
2025-12-31 03:00:00,SA1,1326.12
2025-12-31 03:00:00,TAS1,858.55
2025-12-31 03:05:00,NSW1,5946.55
2025-12-31 03:05:00,QLD1,5676.79
2025-12-31 03:05:00,SA1,1325.99
2025-12-31 03:05:00,TAS1,863.88
2025-12-31 03:05:00,VIC1,3724.53
2025-12-31 03:10:00,NSW1,5995.07
2025-12-31 03:10:00,QLD1,5626.1
2025-12-31 03:10:00,SA1,1327.78
2025-12-31 03:10:00,TAS1,874.77
2025-12-31 03:10:00,VIC1,3726.65
2025-12-31 03:15:00,NSW1,5991.59
2025-12-31 03:15:00,QLD1,5640.84
2025-12-31 03:15:00,SA1,1343.82
2025-12-31 03:15:00,TAS1,879.34
2025-12-31 03:15:00,VIC1,3734.32
2025-12-31 03:20:00,NSW1,5946.05
2025-12-31 03:20:00,QLD1,5689.57
2025-12-31 03:25:00,NSW1,5962.0
2025-12-31 03:20:00,SA1,1340.22
2025-12-31 03:20:00,TAS1,876.41
2025-12-31 03:20:00,VIC1,3743.8
2025-12-31 03:25:00,QLD1,5624.32
2025-12-31 03:25:00,SA1,1347.64
2025-12-31 03:25:00,TAS1,877.74
2025-12-31 03:25:00,VIC1,3743.71
2025-12-31 03:30:00,NSW1,5956.38
2025-12-31 03:30:00,QLD1,5661.09
2025-12-31 03:30:00,SA1,1362.61
2025-12-31 03:30:00,TAS1,876.12
2025-12-31 03:30:00,VIC1,3754.49
2025-12-31 03:35:00,NSW1,5949.54
2025-12-31 03:35:00,QLD1,5683.73
2025-12-31 03:35:00,SA1,1335.78
2025-12-31 03:35:00,TAS1,885.36
2025-12-31 03:35:00,VIC1,3746.08
2025-12-31 03:40:00,NSW1,6015.38
2025-12-31 03:40:00,QLD1,5631.44
2025-12-31 03:40:00,SA1,1320.85
2025-12-31 03:45:00,QLD1,5650.81
2025-12-31 03:40:00,TAS1,878.78
